pattern_id,side,pattern,error
103,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.0|vol=30m:20/1.2,"AttributeError(""'Period' object has no attribute 'astype'"")"
104,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.0|vol=30m:20/1.5,"AttributeError(""'Period' object has no attribute 'astype'"")"
105,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.0|vol=30m:30/0.8,"AttributeError(""'Period' object has no attribute 'astype'"")"
106,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.0|vol=30m:30/1.0,"AttributeError(""'Period' object has no attribute 'astype'"")"
107,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.0|vol=30m:30/1.2,"AttributeError(""'Period' object has no attribute 'astype'"")"
108,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.0|vol=30m:30/1.5,"AttributeError(""'Period' object has no attribute 'astype'"")"
109,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.1|vol=5m:10/0.8,"AttributeError(""'Period' object has no attribute 'astype'"")"
110,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.1|vol=5m:10/1.0,"AttributeError(""'Period' object has no attribute 'astype'"")"
111,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.1|vol=5m:10/1.2,"AttributeError(""'Period' object has no attribute 'astype'"")"
112,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.1|vol=5m:10/1.5,"AttributeError(""'Period' object has no attribute 'astype'"")"
113,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.1|vol=5m:20/0.8,"AttributeError(""'Period' object has no attribute 'astype'"")"
114,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.1|vol=5m:20/1.0,"AttributeError(""'Period' object has no attribute 'astype'"")"
115,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.1|vol=5m:20/1.2,"AttributeError(""'Period' object has no attribute 'astype'"")"
116,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.1|vol=5m:20/1.5,"AttributeError(""'Period' object has no attribute 'astype'"")"
117,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.1|vol=5m:30/0.8,"AttributeError(""'Period' object has no attribute 'astype'"")"
118,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.1|vol=5m:30/1.0,"AttributeError(""'Period' object has no attribute 'astype'"")"
119,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.1|vol=5m:30/1.2,"AttributeError(""'Period' object has no attribute 'astype'"")"
120,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.1|vol=5m:30/1.5,"AttributeError(""'Period' object has no attribute 'astype'"")"
121,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.1|vol=15m:10/0.8,"AttributeError(""'Period' object has no attribute 'astype'"")"
122,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.1|vol=15m:10/1.0,"AttributeError(""'Period' object has no attribute 'astype'"")"
123,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.1|vol=15m:10/1.2,"AttributeError(""'Period' object has no attribute 'astype'"")"
124,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.1|vol=15m:10/1.5,"AttributeError(""'Period' object has no attribute 'astype'"")"
125,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.1|vol=15m:20/0.8,"AttributeError(""'Period' object has no attribute 'astype'"")"
