system,signal_dt,entry_dt,exit_dt,year,month,pnl_pt,pnl_yen,result
①,2024-01-11 18:15:00,2024-01-11 18:20:00,2024-01-11 18:45:00,2024,1,-62.2,-622.0,SL
①,2024-01-11 18:20:00,2024-01-11 18:25:00,2024-01-11 22:30:00,2024,1,77.8,778.0,TIME
①,2024-01-11 18:25:00,2024-01-11 18:30:00,2024-01-11 22:35:00,2024,1,77.8,778.0,TIME
①,2024-01-11 18:30:00,2024-01-11 18:35:00,2024-01-11 18:45:00,2024,1,-62.2,-622.0,SL
①,2024-01-11 18:35:00,2024-01-11 18:40:00,2024-01-11 22:45:00,2024,1,97.8,978.0,TIME
①,2024-01-11 19:05:00,2024-01-11 19:10:00,2024-01-11 20:50:00,2024,1,-62.2,-622.0,SL
①,2024-01-11 19:10:00,2024-01-11 19:15:00,2024-01-11 23:20:00,2024,1,97.8,978.0,TIME
①,2024-01-11 19:15:00,2024-01-11 19:20:00,2024-01-11 23:25:00,2024,1,117.8,1178.0,TIME
①,2024-01-11 19:20:00,2024-01-11 19:25:00,2024-01-11 23:30:00,2024,1,112.8,1128.0,TIME
①,2024-01-11 19:25:00,2024-01-11 19:30:00,2024-01-11 23:35:00,2024,1,112.8,1128.0,TIME
①,2024-01-11 19:30:00,2024-01-11 19:35:00,2024-01-11 23:40:00,2024,1,132.8,1328.0,TIME
①,2024-01-11 20:20:00,2024-01-11 20:25:00,2024-01-12 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-11 20:35:00,2024-01-11 20:40:00,2024-01-11 20:50:00,2024,1,-62.2,-622.0,SL
①,2024-01-11 20:40:00,2024-01-11 20:45:00,2024-01-11 20:50:00,2024,1,-62.2,-622.0,SL
①,2024-01-11 20:45:00,2024-01-11 20:50:00,2024-01-12 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-11 21:10:00,2024-01-11 21:15:00,2024-01-12 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-11 21:15:00,2024-01-11 21:20:00,2024-01-12 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-11 21:20:00,2024-01-11 21:25:00,2024-01-12 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-11 21:25:00,2024-01-11 21:30:00,2024-01-12 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-11 21:30:00,2024-01-11 21:35:00,2024-01-12 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-11 21:35:00,2024-01-11 21:40:00,2024-01-12 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-11 21:40:00,2024-01-11 21:45:00,2024-01-12 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-11 21:45:00,2024-01-11 21:50:00,2024-01-12 00:00:00,2024,1,237.8,2378.0,TP
