combo,n,win_rate,pnl,pf
bb_upper_zone_30m + macd_positive_15m + break_2bar_high,1052,30.61,-18144.0,0.452
bb_upper_zone_15m + macd_above_signal_30m + break_2bar_high,573,27.57,-11246.0,0.451
bb_width_expand_30m + macd_golden_cross_60m + break_2bar_high,25,28.0,-435.0,0.45
bb_upper_zone_30m + macd_above_signal_30m + break_2bar_high,1045,30.62,-18095.0,0.45
bb2_touch_60m + macd_above_signal_30m + break_prev_high,467,31.05,-8549.0,0.448
bb_upper_zone_60m + macd_positive_60m + break_2bar_high,1322,29.12,-23604.0,0.448
bb_upper_zone_30m + macd_above_signal_60m + break_2bar_high,945,30.37,-16415.0,0.447
bb_upper_zone_30m + macd_positive_30m + break_2bar_high,1034,30.17,-18018.0,0.446
bb_pullback_zone_60m + macd_golden_cross_60m + break_2bar_high,23,26.09,-396.0,0.445
bb_pullback_zone_60m + macd_hist_up_15m + break_prev_high,385,27.01,-7745.0,0.444
bb2_touch_60m + macd_above_signal_60m + break_prev_high,459,30.94,-8438.0,0.444
bb_upper_zone_60m + macd_positive_60m + break_prev_high,1649,29.47,-29698.0,0.444
bb_pullback_zone_30m + macd_golden_cross_60m + break_2bar_high,26,26.92,-452.0,0.441
bb_upper_zone_60m + macd_positive_30m + break_2bar_high,1296,28.86,-23422.0,0.441
bb_upper_zone_60m + macd_positive_15m + break_2bar_high,1305,29.04,-23585.0,0.441
bb_pullback_zone_60m + macd_hist_up_15m + break_2bar_high,345,26.67,-7045.0,0.44
bb_upper_zone_60m + macd_positive_30m + break_prev_high,1621,29.3,-29422.0,0.439
bb_upper_zone_60m + macd_positive_15m + break_prev_high,1631,29.43,-29617.0,0.439
bb_upper_zone_30m + macd_above_signal_15m + break_2bar_high,983,30.21,-17206.0,0.438
bb_upper_zone_60m + macd_above_signal_30m + break_2bar_high,1295,28.88,-23700.0,0.435
bb_upper_zone_60m + macd_above_signal_30m + break_prev_high,1620,29.32,-29670.0,0.435
bb_upper_zone_60m + macd_above_signal_60m + break_2bar_high,1233,28.63,-22626.0,0.434
bb_pullback_zone_30m + macd_positive_60m + break_2bar_high,2143,28.46,-39986.0,0.434
bb_width_expand_30m + macd_golden_cross_60m + break_prev_high,27,29.63,-484.0,0.433
bb_upper_zone_60m + macd_above_signal_60m + break_prev_high,1547,29.09,-28559.0,0.43
bb_pullback_zone_30m + macd_positive_60m + break_prev_high,2741,28.38,-51722.0,0.43
