rule,entry_time,exit_time,entry,exit,pnl,pnl_1lot,result,lot,month,weekday,hour_jst
rule2_ma_trend,2026-03-19 11:22:00,2026-03-19 11:22:00,53601.0,53605.0,4.0,4.0,TP,1,2026-03,Thursday,11
rule2_ma_trend,2026-03-20 10:35:00,2026-03-20 10:35:00,53276.0,53255.0,-21.0,-21.0,SL,1,2026-03,Friday,10
rule2_ma_trend,2026-03-20 10:39:00,2026-03-20 10:39:00,53331.0,53310.0,-21.0,-21.0,SL,1,2026-03,Friday,10
rule2_ma_trend,2026-03-23 11:11:00,2026-03-23 11:11:00,51431.0,51410.0,-21.0,-21.0,SL,1,2026-03,Monday,11
rule2_ma_trend,2026-03-23 11:26:00,2026-03-23 11:26:00,51391.0,51424.0,33.0,33.0,LUNCH,1,2026-03,Monday,11
rule2_ma_trend,2026-03-23 11:27:00,2026-03-23 11:27:00,51441.0,51359.0,-82.0,-82.0,LUNCH,1,2026-03,Monday,11
rule2_ma_trend,2026-03-25 09:15:00,2026-03-25 09:15:00,53556.0,53560.0,4.0,4.0,TP,1,2026-03,Wednesday,9
rule2_ma_trend,2026-03-25 09:29:00,2026-03-25 09:29:00,53631.0,53610.0,-21.0,-21.0,SL,1,2026-03,Wednesday,9
rule2_ma_trend,2026-03-25 09:32:00,2026-03-25 09:32:00,53666.0,53645.0,-21.0,-21.0,SL,1,2026-03,Wednesday,9
rule2_ma_trend,2026-03-27 10:42:00,2026-03-27 10:42:00,52841.0,52820.0,-21.0,-21.0,SL,1,2026-03,Friday,10
rule2_ma_trend,2026-03-27 11:01:00,2026-03-27 11:01:00,52856.0,52835.0,-21.0,-21.0,SL,1,2026-03,Friday,11
rule2_ma_trend,2026-03-27 11:11:00,2026-03-27 11:11:00,52916.0,52895.0,-21.0,-21.0,SL,1,2026-03,Friday,11
rule2_ma_trend,2026-03-30 10:44:00,2026-03-30 10:44:00,51166.0,51170.0,4.0,4.0,TP,1,2026-03,Monday,10
rule2_ma_trend,2026-03-30 10:45:00,2026-03-30 10:45:00,51196.0,51175.0,-21.0,-21.0,SL,1,2026-03,Monday,10
rule2_ma_trend,2026-03-30 12:50:00,2026-03-30 12:50:00,51681.0,51660.0,-21.0,-21.0,SL,1,2026-03,Monday,12
rule2_ma_trend,2026-03-31 10:00:00,2026-03-31 10:00:00,51466.0,51445.0,-21.0,-21.0,SL,1,2026-03,Tuesday,10
rule2_ma_trend,2026-03-31 10:19:00,2026-03-31 10:19:00,51546.0,51550.0,4.0,4.0,TP,1,2026-03,Tuesday,10
rule2_ma_trend,2026-03-31 10:23:00,2026-03-31 10:23:00,51736.0,51740.0,4.0,4.0,TP,1,2026-03,Tuesday,10
rule2_ma_trend,2026-03-31 10:27:00,2026-03-31 10:27:00,51866.0,51845.0,-21.0,-21.0,SL,1,2026-03,Tuesday,10
rule2_ma_trend,2026-03-31 10:33:00,2026-03-31 10:33:00,52006.0,51985.0,-21.0,-21.0,SL,1,2026-03,Tuesday,10
rule2_ma_trend,2026-04-01 10:31:00,2026-04-01 10:31:00,53166.0,53170.0,4.0,4.0,TP,1,2026-04,Wednesday,10
rule2_ma_trend,2026-04-01 11:02:00,2026-04-01 11:02:00,53301.0,53280.0,-21.0,-21.0,SL,1,2026-04,Wednesday,11
rule2_ma_trend,2026-04-01 11:03:00,2026-04-01 11:03:00,53316.0,53295.0,-21.0,-21.0,SL,1,2026-04,Wednesday,11
rule2_ma_trend,2026-04-03 09:15:00,2026-04-03 09:15:00,53506.0,53485.0,-21.0,-21.0,SL,1,2026-04,Friday,9
