entry_time,exit_time,entry_price,exit_price,pnl,result,bb_squeeze,atr_ratio,month,weekday_num,weekday,hour
2026-03-26 09:25:00,2026-03-26 09:30:00,48510.0,48410.0,-100.0,SL,1.871,1.273,2026-03,3,木,9
2026-03-26 09:55:00,2026-03-26 10:00:00,48220.0,48470.0,250.0,TP,1.87,1.364,2026-03,3,木,9
2026-03-31 10:30:00,2026-03-31 10:35:00,44890.0,45140.0,250.0,TP,1.129,1.233,2026-03,1,火,10
2026-03-31 10:35:00,2026-03-31 10:40:00,45310.0,45560.0,250.0,TP,1.13,1.236,2026-03,1,火,10
2026-03-31 10:40:00,2026-03-31 10:45:00,45530.0,45430.0,-100.0,SL,1.165,1.214,2026-03,1,火,10
2026-03-31 10:45:00,2026-03-31 10:50:00,45370.0,45270.0,-100.0,SL,1.165,1.171,2026-03,1,火,10
2026-04-01 09:45:00,2026-04-01 09:55:00,46820.0,47070.0,250.0,TP,2.523,1.454,2026-04,2,水,9
2026-04-01 10:00:00,2026-04-01 10:05:00,47090.0,46990.0,-100.0,SL,2.002,1.289,2026-04,2,水,10
2026-04-01 10:05:00,2026-04-01 10:25:00,46830.0,47080.0,250.0,TP,1.84,1.272,2026-04,2,水,10
2026-04-02 09:50:00,2026-04-02 09:55:00,48980.0,48880.0,-100.0,SL,1.735,1.643,2026-04,3,木,9
2026-04-03 10:25:00,2026-04-03 10:50:00,47180.0,47210.0,30.0,TIME,1.035,0.778,2026-04,4,金,10
2026-04-06 09:45:00,2026-04-06 10:00:00,47860.0,48110.0,250.0,TP,1.784,1.653,2026-04,0,月,9
2026-04-06 09:50:00,2026-04-06 10:00:00,47870.0,48120.0,250.0,TP,1.737,1.652,2026-04,0,月,9
2026-04-06 09:55:00,2026-04-06 10:00:00,47990.0,48240.0,250.0,TP,1.719,1.645,2026-04,0,月,9
2026-04-06 10:00:00,2026-04-06 10:05:00,48080.0,47980.0,-100.0,SL,1.704,1.615,2026-04,0,月,10
2026-04-06 10:05:00,2026-04-06 10:10:00,48230.0,48130.0,-100.0,SL,1.713,1.595,2026-04,0,月,10
2026-04-06 10:30:00,2026-04-06 10:35:00,48210.0,48110.0,-100.0,SL,1.148,1.106,2026-04,0,月,10
2026-04-07 09:20:00,2026-04-07 09:25:00,48400.0,48300.0,-100.0,SL,1.349,1.488,2026-04,1,火,9
2026-04-07 09:55:00,2026-04-07 10:00:00,48190.0,48090.0,-100.0,SL,0.983,1.25,2026-04,1,火,9
2026-04-08 09:55:00,2026-04-08 10:00:00,52270.0,52170.0,-100.0,SL,2.835,1.988,2026-04,2,水,9
2026-04-08 10:00:00,2026-04-08 10:15:00,52170.0,52070.0,-100.0,SL,2.545,1.88,2026-04,2,水,10
