pattern,signal_dt,entry_dt,exit_dt,entry_price,pnl_pt,pnl_yen,result,signal_hour,signal_weekday,signal_month,signal_year
B,2024-06-20 20:40:00,2024-06-20 20:45:00,2024-06-20 22:40:00,38450.0,-62.2,-622.0,SL,20,3,6,2024
B,2024-06-20 20:45:00,2024-06-20 20:50:00,2024-06-20 22:40:00,38445.0,-62.2,-622.0,SL,20,3,6,2024
B,2024-06-20 20:50:00,2024-06-20 20:55:00,2024-06-20 22:40:00,38445.0,-62.2,-622.0,SL,20,3,6,2024
B,2024-06-20 20:55:00,2024-06-20 21:00:00,2024-06-20 22:40:00,38440.0,-62.2,-622.0,SL,21,3,6,2024
B,2024-06-20 21:45:00,2024-06-20 21:50:00,2024-06-20 22:40:00,38450.0,-62.2,-622.0,SL,21,3,6,2024
B,2024-06-20 21:50:00,2024-06-20 21:55:00,2024-06-20 22:35:00,38460.0,-62.2,-622.0,SL,21,3,6,2024
B,2024-06-20 21:55:00,2024-06-20 22:00:00,2024-06-20 22:40:00,38455.0,-62.2,-622.0,SL,22,3,6,2024
B,2024-06-20 22:00:00,2024-06-20 22:05:00,2024-06-20 22:40:00,38450.0,-62.2,-622.0,SL,22,3,6,2024
B,2024-06-20 22:05:00,2024-06-20 22:10:00,2024-06-20 22:35:00,38460.0,-62.2,-622.0,SL,22,3,6,2024
B,2024-06-20 22:10:00,2024-06-20 22:15:00,2024-06-20 22:35:00,38465.0,-62.2,-622.0,SL,22,3,6,2024
B,2024-06-20 22:15:00,2024-06-20 22:20:00,2024-06-20 22:40:00,38450.0,-62.2,-622.0,SL,22,3,6,2024
B,2024-06-20 23:45:00,2024-06-20 23:50:00,2024-06-20 23:50:00,38355.0,2.8,28.0,SESSION,23,3,6,2024
B,2024-06-20 23:50:00,2024-06-20 23:55:00,2024-06-21 00:00:00,38360.0,237.8,2378.0,TP,23,3,6,2024
B,2024-06-24 18:10:00,2024-06-24 18:15:00,2024-06-24 22:40:00,38420.0,-62.2,-622.0,SL,18,0,6,2024
B,2024-06-24 18:30:00,2024-06-24 18:35:00,2024-06-24 19:30:00,38490.0,-62.2,-622.0,SL,18,0,6,2024
B,2024-06-24 18:35:00,2024-06-24 18:40:00,2024-06-24 19:30:00,38490.0,-62.2,-622.0,SL,18,0,6,2024
B,2024-06-24 18:40:00,2024-06-24 18:45:00,2024-06-24 22:30:00,38475.0,-62.2,-622.0,SL,18,0,6,2024
B,2024-06-24 18:45:00,2024-06-24 18:50:00,2024-06-24 22:30:00,38470.0,-62.2,-622.0,SL,18,0,6,2024
B,2024-06-24 19:45:00,2024-06-24 19:50:00,2024-06-24 22:30:00,38465.0,-62.2,-622.0,SL,19,0,6,2024
B,2024-06-24 20:00:00,2024-06-24 20:05:00,2024-06-24 20:50:00,38515.0,-62.2,-622.0,SL,20,0,6,2024
B,2024-06-24 20:05:00,2024-06-24 20:10:00,2024-06-24 20:50:00,38505.0,-62.2,-622.0,SL,20,0,6,2024
B,2024-06-24 20:10:00,2024-06-24 20:15:00,2024-06-24 21:15:00,38480.0,-62.2,-622.0,SL,20,0,6,2024
B,2024-06-24 20:15:00,2024-06-24 20:20:00,2024-06-24 21:10:00,38485.0,-62.2,-622.0,SL,20,0,6,2024
B,2024-06-24 20:20:00,2024-06-24 20:25:00,2024-06-24 21:10:00,38490.0,-62.2,-622.0,SL,20,0,6,2024
B,2024-06-24 20:25:00,2024-06-24 20:30:00,2024-06-24 20:50:00,38505.0,-62.2,-622.0,SL,20,0,6,2024
B,2024-06-24 20:30:00,2024-06-24 20:35:00,2024-06-24 21:10:00,38490.0,-62.2,-622.0,SL,20,0,6,2024
B,2024-06-24 21:40:00,2024-06-24 21:45:00,2024-06-24 22:30:00,38455.0,-62.2,-622.0,SL,21,0,6,2024
B,2024-06-24 21:45:00,2024-06-24 21:50:00,2024-06-24 22:30:00,38470.0,-62.2,-622.0,SL,21,0,6,2024
B,2024-06-24 21:50:00,2024-06-24 21:55:00,2024-06-24 22:30:00,38470.0,-62.2,-622.0,SL,21,0,6,2024
B,2024-06-24 21:55:00,2024-06-24 22:00:00,2024-06-24 22:30:00,38470.0,-62.2,-622.0,SL,22,0,6,2024
B,2024-06-24 22:00:00,2024-06-24 22:05:00,2024-06-24 22:30:00,38460.0,-62.2,-622.0,SL,22,0,6,2024
B,2024-06-24 22:05:00,2024-06-24 22:10:00,2024-06-24 22:40:00,38450.0,-62.2,-622.0,SL,22,0,6,2024
B,2024-06-24 22:20:00,2024-06-24 22:25:00,2024-06-24 22:30:00,38455.0,-62.2,-622.0,SL,22,0,6,2024
B,2024-06-24 23:10:00,2024-06-24 23:15:00,2024-06-24 23:50:00,38455.0,72.8,728.0,SESSION,23,0,6,2024
B,2024-06-24 23:15:00,2024-06-24 23:20:00,2024-06-24 23:50:00,38450.0,77.8,778.0,SESSION,23,0,6,2024
B,2024-06-24 23:20:00,2024-06-24 23:25:00,2024-06-24 23:50:00,38460.0,67.8,678.0,SESSION,23,0,6,2024
B,2024-06-24 23:25:00,2024-06-24 23:30:00,2024-06-24 23:50:00,38475.0,52.8,528.0,SESSION,23,0,6,2024
B,2024-06-24 23:30:00,2024-06-24 23:35:00,2024-06-24 23:50:00,38475.0,52.8,528.0,SESSION,23,0,6,2024
B,2024-06-24 23:35:00,2024-06-24 23:40:00,2024-06-24 23:50:00,38480.0,47.8,478.0,SESSION,23,0,6,2024
B,2024-06-24 23:40:00,2024-06-24 23:45:00,2024-06-24 23:50:00,38490.0,37.8,378.0,SESSION,23,0,6,2024
B,2024-06-24 23:45:00,2024-06-24 23:50:00,2024-06-24 23:50:00,38525.0,2.8,28.0,SESSION,23,0,6,2024
B,2024-06-24 23:50:00,2024-06-24 23:55:00,2024-06-25 00:00:00,38535.0,237.8,2378.0,TP,23,0,6,2024
B,2024-06-27 21:00:00,2024-06-27 21:05:00,2024-06-27 21:25:00,39575.0,-62.2,-622.0,SL,21,3,6,2024
B,2024-06-27 21:05:00,2024-06-27 21:10:00,2024-06-27 21:30:00,39560.0,-62.2,-622.0,SL,21,3,6,2024
B,2024-06-27 23:15:00,2024-06-27 23:20:00,2024-06-27 23:50:00,39465.0,27.8,278.0,SESSION,23,3,6,2024
B,2024-06-27 23:20:00,2024-06-27 23:25:00,2024-06-27 23:25:00,39495.0,-62.2,-622.0,SL,23,3,6,2024
